Date,Open,High,Low,Close,Volume
2024-01-01,100.2854,100.4646,100.2854,100.375,1168046
2024-01-02,99.6867,100.3839,99.2587,99.8213,986340
2024-01-03,100.5149,101.1312,100.1745,100.6528,824736
2024-01-04,100.5027,100.514,100.0735,100.2937,851084
2024-01-05,100.4362,100.8914,100.4362,100.6638,1953129
2024-01-08,101.6558,102.2349,100.9647,101.5998,1056217
2024-01-09,100.8963,100.8963,100.5697,100.733,1335263
2024-01-10,100.3415,101.2023,99.7384,100.4704,832951
2024-01-11,100.0305,100.4307,99.99,100.2104,835715
2024-01-12,99.9334,100.5187,99.4634,99.991,1460947
2024-01-15,100.1201,100.1594,99.492,99.8257,704417
2024-01-16,99.6108,100.0808,99.0441,99.5625,932324
2024-01-17,100.2554,100.6811,100.0964,100.3887,1066836
2024-01-18,101.7993,102.0499,101.3027,101.6763,1091880
2024-01-19,101.8892,102.5878,101.7537,102.1708,1000761
2024-01-22,101.2873,101.3169,100.9133,101.1151,1189145
2024-01-23,101.0684,101.5187,100.4118,100.9652,1299976
2024-01-24,100.2859,100.6616,100.0647,100.3632,1316373
2024-01-25,99.8688,100.4331,99.724,100.0786,785643
2024-01-26,100.2123,100.6163,100.2123,100.4143,969711
2024-01-29,100.0248,100.0248,99.8001,99.9125,1511221
2024-01-30,99.6052,99.6594,98.9409,99.3001,1381104
2024-01-31,98.194,99.2187,97.4828,98.3507,699514
2024-02-01,98.9801,99.4174,98.3162,98.8668,1173432
2024-02-02,98.8016,99.5875,98.8016,99.1946,583344
2024-02-05,99.9252,100.4192,99.7238,100.0715,1070975
2024-02-06,98.8716,99.2793,98.4794,98.8793,1866041
2024-02-07,98.08,98.8044,97.8028,98.3036,794630
2024-02-08,98.0838,98.4058,98.0838,98.2448,822170
2024-02-09,97.7605,98.5339,97.3141,97.924,1328032
2024-02-12,97.4908,97.9487,96.8906,97.4197,664745
2024-02-13,97.6481,98.225,97.1628,97.6939,873421
2024-02-14,97.0071,97.958,97.0071,97.4826,1262914
2024-02-15,97.9165,98.7107,97.9165,98.3136,873020
2024-02-16,97.7606,98.4326,97.3858,97.9092,983830
2024-02-19,98.914,99.3131,98.2888,98.801,1320149
2024-02-20,98.5381,99.189,98.5381,98.8636,1198359
2024-02-21,98.5401,98.9449,98.3819,98.6634,1144004
2024-02-22,98.5072,99.0516,98.2223,98.637,953851
2024-02-23,98.6515,99.0081,97.6125,98.3103,1179992
2024-02-26,97.1289,97.3704,97.0745,97.2224,1017521
2024-02-27,97.4434,97.4538,97.2465,97.3501,1211465
2024-02-28,97.3391,97.7261,96.8835,97.3048,909745
2024-02-29,97.1642,97.9646,97.1642,97.5644,999718
2024-03-01,98.359,98.5971,97.7437,98.1704,784665
2024-03-04,97.9539,98.3405,97.4618,97.9012,1044968
2024-03-05,98.285,98.5091,97.8115,98.1603,827943
2024-03-06,98.6767,98.6767,97.3088,97.9927,755991
2024-03-07,98.0429,98.1996,98.0429,98.1212,1141208
2024-03-08,98.4163,98.4163,97.9562,98.1863,1125594
2024-03-11,97.6256,98.0664,97.3252,97.6958,1335561
2024-03-12,98.2119,98.2119,98.0718,98.1419,927884
2024-03-13,97.6747,98.0422,97.3294,97.6858,1193518
2024-03-14,97.4612,98.2791,96.8502,97.5647,1245738
2024-03-15,97.5785,98.1126,97.3227,97.7177,1206738
2024-03-18,97.6518,98.0067,97.1361,97.5714,824311
2024-03-19,97.6086,97.8979,97.6086,97.7532,1104395
2024-03-20,99.0348,99.1229,98.5758,98.8493,1177898
2024-03-21,98.9413,99.3662,98.7224,99.0443,1058277
2024-03-22,98.9305,99.5446,98.877,99.2108,564703
2024-03-25,99.3821,100.147,98.841,99.494,1108088
2024-03-26,100.0292,100.2259,99.2057,99.7158,2050838
2024-03-27,99.048,99.357,99.0045,99.1807,947884
2024-03-28,98.661,99.0156,98.1298,98.5727,848798
2024-03-29,98.9622,99.6388,98.648,99.1434,1181156
2024-04-01,98.8919,99.3247,98.0849,98.7048,1159748
2024-04-02,98.2347,98.7689,97.3644,98.0666,1510302
2024-04-03,98.885,98.885,98.4962,98.6906,724067
2024-04-04,98.7118,98.99,98.5203,98.7551,1315087
2024-04-05,98.1121,98.1121,97.8211,97.9666,1260635
2024-04-08,97.4981,97.8185,97.1299,97.4742,1011915
2024-04-09,97.7891,97.9541,96.9925,97.4733,1168937
2024-04-10,96.4899,97.2412,96.0861,96.6636,1438105
2024-04-11,96.2618,96.4525,95.7131,96.0828,1371882
2024-04-12,96.1838,96.554,95.9072,96.2306,749449
2024-04-15,96.4498,96.8804,96.0501,96.4652,1350583
2024-04-16,96.596,96.7989,96.3489,96.5739,1035705
2024-04-17,97.0742,97.8065,96.2195,97.013,1079342
2024-04-18,95.9347,96.0378,95.8872,95.9625,1079446
2024-04-19,96.236,96.6047,95.7641,96.1844,1009461
2024-04-22,96.8324,97.2281,95.6757,96.4519,1509836
2024-04-23,97.3901,97.5407,96.7608,97.1507,1029809
2024-04-24,97.8477,97.989,97.2821,97.6356,754745
2024-04-25,97.2999,97.7309,97.0909,97.4109,938408
2024-04-26,96.0037,96.5678,95.8675,96.2176,1114156
2024-04-29,96.56,96.9797,95.6801,96.3299,1526921
2024-04-30,96.8499,96.8499,96.7679,96.8089,1265437
2024-05-01,97.3202,97.6484,96.278,96.9632,818181
2024-05-02,96.9798,97.2035,96.9798,97.0916,2225644
2024-05-03,99.5394,99.9418,99.2513,99.5965,1143303
2024-05-06,99.4728,100.0998,99.4728,99.7863,1548221
2024-05-07,98.8808,99.4904,98.4655,98.9779,1009015
2024-05-08,99.697,99.697,99.5369,99.6169,1239238
2024-05-09,99.4397,100.046,99.0655,99.5558,1358430
2024-05-10,99.9944,100.6381,99.031,99.8346,1521882
2024-05-13,101.6067,101.7846,101.5256,101.6551,1450197
2024-05-14,101.4771,101.839,100.9509,101.3949,1371834
2024-05-15,107.1894,107.7647,107.1894,107.477,960754
